network-type 2G
display-type TFT
sim-size Mini-SIM
operating-frequency GSM---900,1800
width 0.0455
height 0.108
phone-book Yes
model-number GT-E1200IBYINS
product-name SAMSUNG-Guru-1200-Indigo-Blue-
display-colors 65-K
warranty-summary 1-Year-for-Mobile-&-6-Months-for-Accessories
resolution 128-x-128-Pixels
primary-camera 0-megapixel
keypad Yes
removable-battery Yes
hybrid-sim-slot No
phone-book-memory 1000
nfc No
gps-support No
wi-fi No
supported-networks GSM
call-log-memory Yes
bluetooth-support No
browse-type Feature-Phones
memory-card-slot-type NA
sales-package Handset,Battery,Charger,User-Manual,Warranty-Card
sim-type Single-Sim
battery-capacity 800-mAh
domain NOT-ASSIGNED
hd-recording No
id 1025
secondary-camera-available No
primary-camera-available Yes
3g No
weight 0.06509999999999999
display-size 1.5-inch
color Indigo-Blue
model-name Guru-1200
other-features Torch,Alarm,Mobile-Tracker,Fake-Call,SOS-Message-Service
call-divert Yes
smartphone No
resolution-type Quarter-QVGA
sms Yes
keypad-type Alphanumeric
sms-memory Yes
depth 0.0135
