secondary-camera 8-megapixel
ram 4-GB
hybrid-sim-slot No
pre-installed-browser Android
full-hd-recording Yes
display-type sAMOLED
battery-capacity 5000-mAh
processor-clock-speed 1.8-GHz
operating-frequency GSM---850,900,1800,1900;-UMTS---2100;-4G-LTE
width 0.0809
otg-compatible Yes
phone-book Yes
network-type 4G,3G,2G
product-name SAMSUNG-Galaxy-A9-Pro-Black-32-GB-4-GB-RAM-
secondary-clock-speed 1.4-GHz
frame-rate 30-fps
warranty-summary 1-Year-Manufacturer-Warranty
resolution 1920-x-1080
touchscreen Yes
primary-camera 16-megapixel
audio-jack 3.5-mm
expandable-storage 256-GB
removable-battery No
flash LED
primary-camera-features OIS-(Optical-Image-Stablizer)-Continuous-Shot,HDR-(High-Dynamic-Range),Night,Panorama-Mode,Pro-Mode
operating-system Android-Marshmallow-6
touchscreen-type Capacitive
secondary-camera-features Selfie,Wide-Selfie-Pro-Mode,Animated-Photo,Anti-fog,Auto,Beauty-Face,Continuous-Shot,HDR-(High-Dynamic-Range),Interval-Shot,Night,Panorama,Pro-Mode,Sports
not-covered-in-warranty Physical-Damage
video-recording-resolution 1920-x-1080
sensors Accelerometer,Fingerprint-Sensor,Geomagnetic-Sensor,Hall-Sensor,Light-Sensor,Proximity-Sensor
processor-core Octa-Core
wi-fi-version 802.11-a/b/g/n/ac
gps-support Yes
wi-fi Yes
supported-networks 4G-LTE,4G-LTE
usb-connectivity Yes
call-log-memory Yes
bluetooth-version 4.2
battery-type Li-Ion
depth 0.0079
browse-type Smartphones
supported-memory-card-type microSD
sales-package Handset,Adaptor,Earphone,User-Manual
sim-type Dual-Sim
internal-storage 32-GB
sim-size Nano-SIM
internet-connectivity 4G,3G,Wi-Fi
domain Mobile
hd-recording Yes
id 1028
audio-formats MP3
secondary-camera-available Yes
primary-camera-available Yes
3g Yes
height 0.16169999999999998
video-recording Yes
display-size 6-inch
color Black
model-name Galaxy-A9-Pro
internal-memory 32
bluetooth-support Yes
map-support Google-Maps
smartphone Yes
model-number SM-A910FZKDINS
resolution-type Full-HD
sms Yes
warranty-service-type Authorised-Service-Centre
processor-type Qualcomm-Snapdragon-652
