sensors Accelerometer-Sensor,Proximity-Sensor
ram 1.5-GB
flash 30
display-type Super-AMOLED
processor-clock-speed 1.5-GHz
operating-frequency GSM---850,900,1800,1900;-UMTS---Band-5-(850),Band-8-(900),Band-2-(1900),Band-1-(2100);-4G-LTE:-(FDD)---Band-1-(2100),Band-3-(1800),Band-5-(850),Band-8-(900),Band-20-(800),(TDD)---Band-40-(2300)
processor-type Quad-Core-Processor
audio-formats MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA
phone-book Yes
product-name SAMSUNG-Galaxy-J2-2016-Black-8-GB-1-5-GB-RAM-
pre-installed-browser Android
sound-enhancements Stereo-Ear-Jack
resolution 1280-x-720
important-apps App-Tray
user-memory 4-GB
primary-camera 5-MP
audio-jack 3.5-mm
expandable-storage 128
removable-battery Yes
hybrid-sim-slot No
primary-camera-features CMOS,f/2.2-Aperture,Flash-Support,Auto-Focus,Face-Detection
operating-system Android-Marshmallow-6
secondary-camera-features CMOS,f/2.2-Aperture,Selfie
video-recording-resolution 1280-x-720
processor-core Quad-Core
wi-fi-version 802.11-b/g/n
gps-support Yes
wi-fi Yes
supported-networks 4G-LTE,GSM
usb-connectivity Yes
call-log-memory Yes
bluetooth-version 4.1
other-features Wi-Fi-Speed:-2.4-GHz,Wi-Fi-Direct,3G-Internet-Usage-Time-Upto-9-hrs,4G-Internet-Usage-Time-Upto-10-hrs,Wi-Fi-Internet-Usage-Time-Upto-10-hrs,Video-Playback-Time-Upto-11-hrs,Audio-Playback-Time-Upto-54-hrs,Gear-Support,Smart-Glow,Vertical-Scroll-Navigation,Ultra-Data-Saving,2.0-Type-C-USB-Connector
battery-type 2600-mAh
depth 0.008
music-player Yes
browse-type Smartphones
supported-memory-card-type MicroSD
memory-card-slot-type Dedicated-Slot
sales-package Handset,Battery,Earphone,Charger,Quick-Guide
display-colors 16-M
internal-storage 8-GB
sim-size Micro-SIM
internet-connectivity 4G,3G,Wi-Fi
width 0.0711
hd-recording Yes
id 1033
secondary-camera-available Yes
primary-camera-available Yes
video-formats MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM
3g Yes
weight 0.138
height 0.1424
video-recording Yes
domain Mobile
display-size 5-inch
color Black
model-name Galaxy-J2---2016
bluetooth-support Yes
map-support Google-Maps
model-number SM-J210FZKDINS
resolution-type HD
sms Yes
sim-type Dual-Sim
