sim-access Dual-Standby
internal-storage 8-GB
wi-fi-version 802.11-b/g/n
sim-size Micro-SIM
covered-in-warranty Handset
operating-frequency GSM---850,900,1800,1900;-UMTS---2100;-4G-LTE-(FDD)---B1(2100),B3(1800),B5(850),B8(900),B20(800);-4G-LTE-(TDD)---B40(2300)
width 0.069
micro-usb-version 2
otg-compatible No
phone-book Yes
model-number SM-J200GZWDINS/SM-J200GZWHINS
bluetooth-support Yes
display-colors 16-M
frame-rate 30-fps
primary-camera 5-megapixel
expandable-storage 128-GB
hd-recording Yes
hybrid-sim-slot No
video-recording-resolution 1280-x-720
phone-book-memory Yes
nfc No
gps-support Yes
wi-fi Yes
supported-networks 4G-LTE,GSM
other-display-features 234-PPI,Multi-touch
mms Yes
browse-type Smartphones
gpu Mali-T20
memory-card-slot-type Dedicated-Slot
sales-package Handset,Battery,Travel-Adapter,Stereo-Headset
sim-type Dual-Sim
3g-speed 21.1-Mbps-HSDPA,5.76-Mbps-HSUPA
battery-capacity 2000-mAh
fm-radio-recording Yes
primary-camera-available Yes
video-formats MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM
audio-formats MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA
warranty-service-type Service-Center
3g Yes
display-size 4.7-inch
edge Yes
other-features Wi-Fi-Direct
smartphone Yes
resolution-type quarter-HD
weight 0.13
secondary-camera 2-megapixel
ram 1-GB
network-type 4G,3G
wi-fi-hotspot Yes
flash LED
micro-usb-port Yes
display-type Super-AMOLED
processor-clock-speed 1.3-GHz
internet-connectivity 3G,4G,Wi-Fi,GPRS,EDGE
domain Mobile
height 0.1365
product-name SAMSUNG-Galaxy-J2-White-8-GB-1-GB-RAM-
pre-installed-browser Android
image-editor Yes
warranty-summary 1-Year-Manufacturer-Warranty
resolution 960-x-540-Pixels
fm-radio Yes
touchscreen Yes
audio-jack 3.5-mm
model-name Galaxy-J2
primary-camera-features Auto-Focus,Geo-tagging,Touch-Focus,Face-Detection
operating-system Android-Lollipop-5.1.1
processor-core Quad-Core
user-memory 4.3-GB
touchscreen-type Capacitive
digital-zoom Digital-Zoom
gprs Yes
bluetooth-version 4
removable-battery Yes
id 1035
secondary-camera-available Yes
usb-connectivity Yes
supported-memory-card-type MicroSD
video-recording Yes
not-covered-in-warranty Any-Damage-cause-by-customer
color White
map-support Google-Maps
sensors Accelerometer,Proximity-Sensor
processor-type Cortex-A7-Exynos-3475
sms Yes
depth 0.008400000000000001
