bluetooth v4.0
additional-features Li-ion-Battery
read/write-speed 8x
ram 8-GB
ssd No
domain Mobile
processor-brand AMD
rj45 Yes
id 1049
processor-generation 7th-Gen
hdmi-port 1-x-HDMI-Port
internal-mic Built-in-Microphone
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system DOS
not-covered-in-warranty Physical-Damage
model-number Ideapad-110
domestic-warranty 1-Year
processor-variant A9-9400
rpm 5400
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR3
disk-drive CD/DVD-writer
wireless-lan IEEE-802.11ac
part-number 80TR002XIH
product-name Lenovo-APU-Dual-Core-A9-7th-Gen-8-GB-1-TB-HDD-DOS-2-GB-Graphics-80TR002XIH-Ideapad-110-Notebook-15-6-inch-Black-
hdd-capacity 1-TB
hardware-interface SATA
color Black
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 3-MB
emmc-storage-capacity NA
screen-type HD-LED-Backlit-Display
usb-port 2-x-USB-2.0
graphic-processor AMD-R16M-M1-30
ethernet 10/100/1000-Mbps
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
processor-name APU-Dual-Core-A9
clock-speed 2.4-GHz
keyboard Standard-Keyboard
