bluetooth 4
ram-type DDR3
ram 16-GB
disk-drive CD/DVD-writer
wireless-lan 802.11a/b/g/n
product-name Lenovo-Y50-70-Core-i7-4th-Gen-16-GB-1-TB-HDD-8-GB-SSD-Windows-8-Pro-4-GB-Graphics-59441906-Y50-70-Notebook-15-6-inch-Black-
ssd Yes
domain Mobile
processor-brand Intel
hdd-capacity 1-TB
model-name Y50-70
ethernet integrated-10/100/1000-mbps
id 1056
processor-generation 4th-Gen
type Notebook
os-architecture 64-bit
screen-resolution 3840-X-2060-pixel
sales-package 1-Laptop/1-inbuilt-battery/1-Charger
series Y50-70
domestic-warranty 3-Year
graphic-processor N16P-Gx
web-camera 1-Megapixel
color Black
dedicated-graphic-memory-type GDDR5
screen-size 15.6-inch
dedicated-graphic-memory-capacity 4-GB
warranty-summary 3-Year-on-site-with-1-Year-ADP
touchscreen No
warranty-service-type On-site
suitable-for Gaming
supported-operating-system Windows-8.1
operating-system Windows-8-Pro
processor-name Core-i7
model-number Y50-70
part-number 59441906
ssd-capacity 8-GB
not-covered-in-warranty Physical-Damage
battery-backup Upto-3.5-hrs
covered-in-warranty All
