speaker-type Down-Firing-+-Base-Reflex
composite-in-(audio-video-cable) 1-Composite-Input-(AV):-(Common-Use-for-Component-Y)
launch-year 2015
refresh-rate 100-Hz
warranty-summary 1-Year-Samsung-Domestic-Warranty
speaker-output-rms 20
product-name SAMSUNG-126cm-50-Full-HD-Smart-LED-TV-50J5570-3-x-HDMI-2-x-USB-
rf-connectivity-input 1
built-in-wi-fi Yes
installation-&-demo-details We'll-facilitate-the-installation-and-demo-through-authorized-service-engineer-at-your-convenience.-The-installation-will-be-done-within-2-to-5-Business-days-of-delivery-of-the-TV.-The-service-engineer-will-install-your-new-TV,either-on-wall-mount-or-on-table-top.-Installation-and-demo-are-provided-free-of-cost.-The-engineer-will-also-help-you-understand-your-new-TV's-features.-The-process-generally-covers:-Wall-mounted-or-table-top-installation,as-requested-(Wall-mounted-mode-is-recommended-for-better-sound-experience),Physical-check-of-all-ports,including-power-and-USB-ports.-Accessories-also-checked,Demonstration-of-features-and-settings,Quick-run-through-on-how-to-operate-the-TV.
other-connectivity-features 1-CI-Slot
usb USB-2.0
internet-access Yes
width-x-height-x-depth-(with-stand) 1117.8-mm-x-703.6-mm-x-310.5-mm
other-internet-features Apps
model-name 50J5570
not-covered-in-warranty The-Warranty-Card-and-the-invoice-are-not-presented-to-authorised-to-personnel-at-the-time-of-repair.-The-Product-is-not-used-According-to-Instructions-given-in-the-Instruction-Manual.-Defects-Caused-by-Improper-use-as-Determined-by-the-Company-Personnel.-Modification-or-Alteration-of-any-Nature-is-made-in-the-Electrical-Circuitry-or-Physical-Construction-of-the-Set.-Installation-/-Repair-Work-is-Carried-out-by-Persons-/-Agency-other-than-Authorised-by-the-Company.-Site-(Premises-where-the-Product-is-kept)-Conditions-that-do-not-Confirm-to-the-Recommended-Operating-Conditions-of-the-Machine.-The-Original-Serial-Number-is-Removed,Obliterated-or-Altered-from-the-Machine-or-Cabinet.-Defects-due-to-Cause-Beyond-Control-like-Lightning,Abnormal-Voltage,Acts-of-God-or-while-in-Transit-to-Service-Centre-or-Purchaser's-Residence.
rf-capable Yes
hd-technology-&-resolution Full-HD,1920-x-1080
number-of-speakers 2
other-video-features Wide-Color-Enhancer-(Plus)
id 1081
weight-(with-stand) 13.4-kg
sales-package TV-Unit,Remote-Controller-Model:-TM1250A,Batteries-(For-Remote-Control),User-Manual,E-manual,Power-Cable,Floor-Stand-Support
weight-(without-stand) 12.4-kg
power-requirement AC-100---240-V,50/60-Hz
contrast-ratio 1000000:1-(Static)
3g-dongle-plug-and-play Yes
display-size 126-cm-(50)
picture-in-picture-(pip) Yes
hdmi 3
screen-type LED
sound-technology Dolby-Digital-Plus
other-audio-features Virtual-Surround:-DTS-Studio-Sound
picture-engine Hyper-Real-Picture-Engine
width-x-height-x-depth-(without-stand) 1117.8-mm-x-647.8-mm-x-67.5-mm
covered-in-warranty Defect-arising-out-of-Faulty-or-defective-material-or-workmanship.-Parts-&-Labour-cost-is-covered
digital-audio-output-(optical) 1
domain TV
digital-tv-reception DVB---T2-/-S2
smart-tv Yes
3d No
stand-type V-shape
surround-sound Virtual-Surround
audio-out 1
led-display-type Edge
other-convenience-features Auto-Channel-Search,Sports-Mode,Game-Mode,Indian-Cinema-Mode
power-consumption 143-W,0.3-W-(Stand-By)
component-in-(rgb-cable) 1-Component-Input-(Y-/-Pb-/-Pr)
wi-fi-type Wi-Fi-Direct
