speaker-type 1-Way-2-Speakers
composite-in-(audio-video-cable) Composite-Input-(CVBS-+-Audio):-1-(Rear)-(H,Composite-/-Component-Common)
product-name LG-55cm-22-HD-Ready-LED-TV-22LB452A-1-x-HDMI-1-x-USB-
launch-year 2014
power-consumption 0.3-W-(Stand-By)
analog-tv-reception PAL/SECAM-BG/DK,PAL-I,NTSC-M
speaker-output-rms 10
number-of-speakers 2
sales-package TV-Unit,Conventional-Remote
width-x-height-x-depth-(without-stand) 507.6-mm-x-315.7-mm-x-53.1-mm
hdmi HDMI-1.4,1-(H)-(Rear)
rf-connectivity-input 1-(Rear)
sound-technology Dolby-Digital-Decoder
other-audio-features Active-Noise-Reduction
screen-type LED
picture-engine Triple-XD-Engine
id 1082
covered-in-warranty Defect-arising-out-of-Faulty-or-defective-material-or-workmanship.-Parts-&-Labour-cost-is-covered
usb USB-2.0,1-(Side)
warranty-summary 1-Year-LG-India-Domestic-Warranty
width-x-height-x-depth-(with-stand) 507.6-mm-x-355.9-mm-x-140.6-mm
smart-tv No
3d No
installation-&-demo-details This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
model-name 22LB452A
domain TV
headphone-jack 1-(Rear)-(RCA-Analog-Audio-Output)
aspect-ratio Just-Scan,Zoom,16:9,4:3,14:9,Cinema-Zoom,Original
rf-capable Yes
hd-technology-&-resolution HD-Ready,1366-x-768
led-display-type Slim-LED
panel-type Advanced-IPS-LED-LCD-Panel
other-convenience-features Built-in-Games
supported-audio-formats Audio-Codec:-AC3-(Dolby-Digital),EAC3,AAC,MPEG,MP3,PCM
component-in-(rgb-cable) Component-Input-(Y,Pb,Pr-+-Audio):-1-(Rear)-(H,Composite-/-Component-Common)
other-video-features Dynamic-Clear-White
view-angle 178(H)-degree
sound-mode Bollywood,Cinema,Standard,Soccer,Game
weight-(with-stand) 3.1-kg
display-size 55-cm-(22)
weight-(without-stand) 2.9-kg
power-requirement AC-100---240-V,50/60-Hz
