contrast-ratio 1000000:01-(Static)
launch-year 2015
refresh-rate 60-Hz
product-name Videocon-81cm-32-HD-Ready-LED-TV-VJU32HH12XAH-2-x-HDMI-3-x-USB-
speaker-output-rms 20
pc-d-sub 1
sales-package 1-TV-Unit,Remote-Handset,Battery-Cell,Users-Guide-Book
width-x-height-x-depth-(without-stand) 744-mm-x-457-mm-x-89-mm
picture-in-picture-(pip) Yes
hdmi Rear
screen-type LED
mobile-high-definition-link Yes
rf-connectivity-input 1
view-angle 178(H)-degree
covered-in-warranty Panel,Power-Supply,Main-PCB,Sub-PCBs
sound-mode User,Standard,Music,Speech
usb USB-Location:-Rear,USB-2.0-MPEG
warranty-summary 1-Year-Videocon-India-Domestic-Warranty
domain TV
width-x-height-x-depth-(with-stand) 744-mm-x-513-mm-x-220-mm
smart-tv No
3d No
other-audio-features Auto-Volume-Leveller
installation-&-demo-details We'll-facilitate-the-installation-and-demo-through-authorized-service-engineer-at-your-convenience.-The-installation-will-be-done-within-2-to-5-Business-days-of-delivery-of-the-TV.-The-service-engineer-will-install-your-new-TV,either-on-wall-mount-or-on-table-top.-Installation-and-demo-are-provided-free-of-cost.-The-engineer-will-also-help-you-understand-your-new-TV's-features.-The-process-generally-covers:-Wall-mounted-or-table-top-installation,as-requested-(Wall-mounted-mode-is-recommended-for-better-sound-experience),Physical-check-of-all-ports,including-power-and-USB-ports.-Accessories-also-checked,Demonstration-of-features-and-settings,Quick-run-through-on-how-to-operate-the-TV.
model-name VJU32HH12XAH
pc-audio-in 1
not-covered-in-warranty Aesthetic-/-Plastic-Parts-such-as-Remote-Control,Cabinets,Stand,Accessories-such-as-Cables-(HDMI,AV,DVI-etc);-Any-Accidental-Damages
other-connectivity-features 1-AV-Input
rf-capable Yes
hd-technology-&-resolution HD-Ready,1366-x-768
led-display-type DLED
power-consumption 50-W
component-in-(rgb-cable) DVD-Compatibility-(YPbPr-/-YCbCr):-1
other-video-features Display-Colors:-16.7-Million
id 1085
number-of-speakers 2
brightness 401-cd/m²
weight-(with-stand) 5.5-kg
display-size 81-cm-(32)
weight-(without-stand) 4.9-kg
power-requirement AC-110---240-V,50/60-Hz
