speaker-type Full-Range
composite-in-(audio-video-cable) Composite-Video-Input:-RCA-Phono-Type-x-1-(Rear)
product-name Panasonic-124-46cm-49-Full-HD-Smart-LED-TV-TH-49CS580D-3-x-HDMI-1-x-USB-
launch-year 2015
refresh-rate 100-Hz
supported-audio-formats MP3,AAC,WMA-Pro,FLAC,WAV
speaker-output-rms 10-W-x-2
number-of-speakers 2
sales-package TV-Unit,TV-Remote,Power-Cord,Service-Manual
width-x-height-x-depth-(without-stand) 1106-mm-x-644-mm-x-63-mm
power-consumption 124-W,0.2-W-(Stand-By)
hdmi Side,Bottom
screen-type LED
built-in-wi-fi Yes
warranty-summary 1-Year-Panasonic-Domestic-Warranty
ethernet-(rj45) 1
id 1094
covered-in-warranty Defect-arising-out-of-Faulty-or-defective-material-or-workmanship.-Parts-&-Labour-cost-is-covered
surround-sound V-audio-Surround-Mode
usb USB-2.0
width-x-height-x-depth-(with-stand) 1106-mm-x-693-mm-x-235-mm
smart-tv Yes
other-internet-features Smart-Features:-My-Home-Screen,Wireless-Media,Voice-Guidance,On-Screen-Display-Menu-Languages:-10-Languages,Panasonic-TV-Remote-Apps,Swipe-and-Share,Internet-Apps,Web-Browser,Easy-Mirroring,DLNA:-(DMP-/-DMR-/-DMS),Bluetooth:-Keyboards-/-Mouses-/-Audio-Devices
3d No
installation-&-demo-details We'll-facilitate-the-installation-and-demo-through-authorized-service-engineer-at-your-convenience.-The-installation-will-be-done-within-2-to-5-Business-days-of-delivery-of-the-TV.-The-service-engineer-will-install-your-new-TV,either-on-wall-mount-or-on-table-top.-Installation-and-demo-are-provided-free-of-cost.-The-engineer-will-also-help-you-understand-your-new-TV's-features.-The-process-generally-covers:-Wall-mounted-or-table-top-installation,as-requested-(Wall-mounted-mode-is-recommended-for-better-sound-experience),Physical-check-of-all-ports,including-power-and-USB-ports.-Accessories-also-checked,Demonstration-of-features-and-settings,Quick-run-through-on-how-to-operate-the-TV.
model-name TH-49CS580D
domain TV
hd-technology-&-resolution Full-HD,1920-x-1080
aspect-ratio 16:9
display-size 124.46-cm-(49)
led-display-type Direct
panel-type LED-LCD-IPS-Panel
supported-video-formats AVI,MKV,WMV,MP4,M4v,FLV,3GPP,VRO,VOB,TS,PS
component-in-(rgb-cable) Component-Video-Input-Shared-with-Composite:-RCA-Phono-Type-x-1-(Rear)
other-video-features Picture-Mode:-Dynamic-/-Normal-/-Cinema-/-True-Cinema-/-Custom
view-angle 178°-degree
sound-mode Music,Speech,User,Standard
weight-(with-stand) 16-kg
other-connectivity-features Analogue-Audio-Output:-1-Rear
weight-(without-stand) 14-kg
power-requirement AC-110---240-V,50/60-Hz
