composite-in-(audio-video-cable) 1-Composite-Video-Input
contrast-ratio 1000000:1-(Static)
launch-year 2014
product-name Onida-55-8cm-22-Full-HD-LED-TV-LEO22FRB-1-x-HDMI-1-x-USB-
analog-tv-reception PAL,NTSC-3.58,SECAM,NTSC-4.43
speaker-output-rms 10-W-x-2
number-of-speakers 2
sales-package Instruction-Manual,Remote-Handset,Battery-Cell,Table-Top,Wall-Mount-(Accessory)
domain TV
pc-d-sub 1
hdmi 1
screen-type LED
supported-video-formats MPEG4,MOV,MP4,MPEG,RM,VOB,DIVX,DAT,FLV
other-audio-features Surround
rf-connectivity-input 1
power-consumption 37-W,0.3-W-(Stand-By)
covered-in-warranty Defect-arising-out-of-Faulty-or-defective-material-or-workmanship.-Parts-&-Labour-cost-is-covered
aspect-ratio Screen-Format-(16:9,4:3,Zoom-1,Zoom-2,Auto)
usb USB-2.0,1
warranty-summary 1-Year-Onida-Domestic-Warranty
other-dimensions Dimension:-658-(L)-x-175-(W)-x-469-(D)-mm,Weight:-3.7-kg
width-x-height-x-depth-(with-stand) 532-mm-x-362-mm-x-129-mm
smart-tv No
3d No
installation-&-demo-details This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
model-name LEO22FRB
pc-audio-in 1
other-connectivity-features HD15-PC-Input
audio-out 1
rf-capable Yes
hd-technology-&-resolution Full-HD,1920-x-1080
led-display-type Edge-LED
other-convenience-features Wakeup-Timer,Alarm
supported-audio-formats MP3,WAV,M4A,AAC,OGG
component-in-(rgb-cable) 1-Component-Video-(Y,Pb,Pr)-Input
other-video-features Video-Processing:-SRVe
id 1096
sound-mode Movie,Flat,Music,Normal
weight-(with-stand) 3.5-kg
display-size 55.8-cm-(22)
power-requirement AC-100---260-V,50/60-Hz
