launch-year 2015
refresh-rate 60-Hz
warranty-summary 1-Year-Videocon-India-Domestic-Warranty
speaker-output-rms 10-W-x-2
product-name Videocon-81cm-32-HD-Ready-LED-TV-VJU32HH08CAM-2-x-HDMI-2-x-USB-
rf-connectivity-input 1
built-in-wi-fi Yes
mobile-high-definition-link Yes
id 1103
usb USB-Location:-Rear,USB-2.0
width-x-height-x-depth-(with-stand) 744-mm-x-513-mm-x-220-mm
other-internet-features Wi-Fi:-IEEE-802.11b/g/n
model-name VJU32HH08CAM
not-covered-in-warranty Aesthetic-/-Plastic-Parts-such-as-Remote-Control,Cabinets,Stand,Accessories-such-as-Cables-(-HDMI,AV,DVI-etc);-Any-Accidental-Damages
rf-capable Yes
hd-technology-&-resolution HD-Ready,1366-x-768
other-video-features Display-Colors:-16.7-Million
view-angle 178-degree
sound-mode User,Speech,Standard,Music
brightness 300-cd/m²
weight-(with-stand) 5.5-kg
sales-package Remote-Handset,Battery-Cell,Users-Guide-Book
weight-(without-stand) 4.9-kg
power-requirement AC-100---240-V,50/60-Hz
contrast-ratio 1000000:01-(Static)
number-of-speakers 2
display-size 81-cm-(32)
pc-d-sub 1
hdmi Rear
screen-type LED
other-audio-features Auto-Volume-Leveller
width-x-height-x-depth-(without-stand) 744-mm-x-457-mm-x-89-mm
covered-in-warranty Panel,Power-Supply,Main-PCB,Sub-PCBs
domain TV
smart-tv No
3d No
installation-&-demo-details We'll-facilitate-the-installation-and-demo-through-authorized-service-engineer-at-your-convenience.-The-installation-will-be-done-within-2-to-5-Business-days-of-delivery-of-the-TV.-The-service-engineer-will-install-your-new-TV,either-on-wall-mount-or-on-table-top.-Installation-and-demo-are-provided-free-of-cost.-The-engineer-will-also-help-you-understand-your-new-TV's-features.-The-process-generally-covers:-Wall-mounted-or-table-top-installation,as-requested-(Wall-mounted-mode-is-recommended-for-better-sound-experience),Physical-check-of-all-ports,including-power-and-USB-ports.-Accessories-also-checked,Demonstration-of-features-and-settings,Quick-run-through-on-how-to-operate-the-TV.
pc-audio-in 1
other-connectivity-features AV-Input:-1
led-display-type DLED
other-convenience-features Family-Favorite,Operating-System:-Windows-10,Processor:-1.33-GHz-Quad-Core-Intel-Atom-Z3735F-Processor,2GB-DDR3-RAM,16-GB-ROM,MicroSD:-Upto-128-GB
power-consumption 55-W
component-in-(rgb-cable) DVD-Compatibility-(YPbPr-/-YCbCr):-1
wi-fi-type Built-in
