power-source AC/DC
circuit-design IC
usb-port Yes
warranty-summary 6-Months-Manufacturer-Warranty
brand Bexton
compatible-with Mobile,Ipod,USB,AUX
remote Yes
product-name Bexton-Bluetooth-Multimedia-BX3535-200-W-AV-Power-Amplifier-Silver-
controls Bass,Treble,Volume
frequency-response 20Hz---120kHz
not-covered-in-warranty Warranty-does-not-cover-any-fault-caused-due-to-external-accessories.
height 0.1
color Silver
other-connectivity-features Bluetooth,USB-2.0,3.5-mm-AUX
cabinet-material Imported-Metal
domain Amplifier
weight 1.25
channels 4
id 1141
depth 0.18
audio-input/output Bluetooth-3.0,USB-2.0,3.5-mm-Jack,Card-Reader,External-Speakers-Connectivity
width 0.24
type AV-Power-Amplifier
component-upconversion Yes
model-number Bluetooth-Multimedia-BX3535
wireless-network-connectivity Yes
circuit-configuration Double-IC-4440
covered-in-warranty Warranty-of-the-product-is-limited-to-manufacturing-defects-only.
power-consumption 200-W
master-volume Yes
technology-used Double-IC-4440
