power-source AC-Plug
other-features Speaker-has-Low-Distortion-Circuit-for-Frequencies,High-5-Lite-can-be-Connected-to-PC-/-Laptop,Cellphone,MP3-Player,Music-Systems,iPod,TV-/-LCD-/-LED,White-Light-Glows-Around-the-Volume-Knob-During-Power-On-Mode,Connector-Based-Circuit-for-Longer
controls Volume,Bass-and-Treble-Control-Knobs
warranty-summary 1-Year-Warranty
domain Speaker
sales-package 5-Speakers,1-Woofer,1-Remote,2-AAA-Batteries,1-AUX-Cable,User-Manual
type Home-Audio-Speaker
driver-type 1-Subwoofer,5-Satellites
driver-size 4-inch-(Subwoofer),3-inch-(Satellite)
color Black
compatible-devices Laptop,PC,LED,DVD,Audio-Player
configuration 5.1-Channel
id 1147
signal-to-noise-ratio 75-dB
wired/wireless Wired
subwoofer 1
product-name Envent-High-5-Lite-ET-SP51125-Home-Audio-Speaker-Black-5-1-Channel-
impedance 4-Ohms
other-audio-features 5-Elegant-Satellites-Deliver-Surround-Sound-Experience-and-Complement-the-Wooden-Woofer-Cabinet
model-name High-5-Lite---ET-SP51125
power-output 35
frequency-response 20-Hz---20KHz
