power-source AC-Adapter
usb-ports 1-USB-Ports
portable No
built-in-fm-radio Yes
battery Use-Time-8-hr
bluetooth 2.0
power-input 40W-+-15W-x-5
headphone-jack Yes
domestic-warranty 1-Year
domain Speaker
sales-package 5-Speaker,1-Remote
type Home-Audio-Speaker
controls Input,,Mode,,Vol+,,Vol-,,Prev/CH--TU-,,PP/Scan,Next/CH+/TU+
frequency-response Main-Unit-:-40Hz-–-150Hz,Satellite-:-150Hz-–-20KHz
remote-control-support Wireless
covered-in-warranty 1-Year
model-name IT--4950-SUF-BT
color Black
compatible-devices Mobile,Computer
outdoor-usage Yes
configuration 5.1-Channel
not-covered-in-warranty warranty-in-damage
id 1151
wired/wireless Wired-&-Wireless
memory-card-slot No
tweeter-support NO
product-name Intex-IT-4950-SUF-BT-Bluetooth-Home-Audio-Speaker-Black-5-1-Channel-
impedance Main-Unit-:-8-Ω,Satellite-:-4Ω
chassis-material No,plastic-Chassis
amplifier YES
power-output 40W-+-15W-x-5
charging-time 2.5-hr
warranty-service-type Intex-service-center
wall-mountable-satellite No
technology-used Multipoint-Technology
bluetooth-range 10-m
