refrigerator-type Bottom-Freezer-Refrigerator
egg-tray Yes
door-finish PCM
domain Refrigerator
gross-refrigerator-capacity 234-L
built-in-stabilizer No
defrosting-type Frost-Free
type Double-Door
toughened-glass Yes
product-name Haier-320-L-Frost-Free-Double-Door-Refrigerator-HRB-3403BS-H-Brushline-Silver-
handle-material Plastic-/-ABS
wheel-support Yes
interior-finish Transparent
temperature-control Manual
warranty-summary 1Yr-Complete-and-9-Yr-on-Compressor
number-of-refrigerator-shelves 4
net-height-without-handle 1600-mm
weight 69
express-freezing Yes
coolpad Yes
refrigerator-interior-light Yes
compressor-type Reciprocatory
capacity 320-L
shelf-material Toughened-Glass
power-requirement 50-Hz,AC-260-V
net-total-capacity 278-L
ice-cube-tray-type Twist-Ice-Tray
other-features Recess-Handle,Deodorizer:-VC-Filter-cum-Deodorizer,Refrigerator-Interior-Light:-White-LED,Leather-Finish-Cabinet
water-dispenser No
moisture-control No
door-alarm Yes
freezer-tray-type Ice-Tray
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
id 1161
removable-rack No
number-of-refrigerator-door-bins 3
freezer-interior-light No
air-flow-type 3-Dimensional
number-of-freezer-shelves 1
number-of-freezer-drawers 1
number-of-doors 2
net-width 595-mm
clock No
stabilizer-required No
sales-package 1-Refrigerator,User-Manual,Ice-Tray-and-Key
deodorizer Yes
water-&-ice-dispenser No
gasket-type Anti-Fungal
net-depth 642-mm
number-of-refrigerator-bottle-racks 1
door-lock Yes
net-width-without-handle 595-mm
net-height 1600-mm
power-consumption 105-W
number-of-crispers 1
installation-&-demo Standard-installation-and-demo-is-provided-free-of-cost.-After-delivery-of-your-Refrigerator,you-will-receive-a-ticket-number-via-message.-Post-that,you-will-receive-a-call-from-the-authorized-service-engineer-to-schedule-a-mutually-convenient-time-to-provide-demo-and-installation-at-your-doorstep.-Installation-TAT-will-be-2-to-5-business-days-depending-on-the-location.Kindly-contact-us-on-1800-208-9898-for-any-further-queries.
net-depth-without-handle 642-mm
removable-gasket Yes
star-rating 2
other-convenience-features Larger-Veg-Box,Twist-Ice-Tray-with-32-Ice-Cubes,1-Egg-Tray,Freezer-Tray-Type:-Transparent
insulation-type Polyurethane-Foam-(With-Cyclopentane)
cooling-refrigerant R---600a
flexible-rack No
gross-freezer-capacity 86-L
technology-used 1-Hour-Icing-Technology-(1-HIT)
number-of-refrigerator-drawers 1
can-rack Yes
child-lock No
