refrigerator-type Top-Freezer-Refrigerator
door-finish PCM
domain Refrigerator
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
net-width 524-mm
type Single-Door
number-of-doors 1
toughened-glass No
product-name Videocon-47-L-Direct-Cool-Single-Door-Refrigerator-VC060PSH-FDW-Silver-Hairline-
stabilizer-required No
net-depth 620-mm
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
water-&-ice-dispenser No
gasket-type Anti-Bacterial-Gasket
number-of-refrigerator-shelves 2
warranty-summary 1-Year-on-Refrigerator-&-5-Years-on-Compressor
weight 24
door-lock Yes
coolpad No
net-height 986-mm
compressor-type Reciprocating-Compressor
capacity 47-L
shelf-material Toughened-Glass
removable-gasket Yes
defrosting-type Direct-Cool
other-convenience-features Extruted-Bottle-Supporter
other-features Inbuilt-Door-Shelves,Curved-Door,Recessed-Handle
water-dispenser No
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
id 1170
