model-number MN4M2HN/A
browse-type Smartphones
bluetooth-support Yes
width 0.07790000000000001
display-size 5.5-inch
hybrid-sim-slot No
product-name Apple-iPhone-7-Plus-Black-128-GB-
model-name iPhone-7-Plus
sms-memory Yes
sim-type Single-Sim
otg-compatible No
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats H.264,AAC-LC,M4V,MP4,MOV,MPEG4,AVI,PCM
other-features Rated-IP67-Under-IEC-Standard-60529,Apple-Pay,Audio-Calling:-FaceTime-Audio,Voice-Over-LTE-(VoLTE),Wi-Fi-Calling,TV-and-Video:-AirPlay-Mirroring,Photos,Audio,Video-out-to-Apple-TV-(2nd-Generation-or-Later)
hd-recording Yes
video-recording-resolution 3840-x-2160
internal-memory 128
video-call-support Yes
flash Quad-LED-True-Tone-Flash
sms Yes
secondary-camera 7-megapixel
phone-book-memory Yes
sensors Touch-ID-Fingerprint-Sensor,Barometer,Three-axis-Gyro-Sensor,Accelerometer,Proximity-Sensor,Ambient-Light-Sensor,Backside-Illumination-Sensor,Digital-Compass
gps-support Yes
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
edge Yes
network-type 4G-VOLTE
id 1177
height 0.15819999999999998
phone-book Yes
nfc Yes
processor-type A10-Fusion-Chip-with-64-bit-Architecture-and-Embedded-M10-Motion-Co-processor
primary-camera-available Yes
3g-speed HSPA+
depth 0.0073
rear-secondary-camera 12-megapixel
supported-networks 4G-LTE
other-display-features Retina-HD-Display,Multi-touch-Display,1300:1-Contrast-Ratio,Wide-Color-Display-(P3),625-cd/m2-Maximum-Brightness,Dual-Domain-Pixels-for-Wide-Viewing-Angles,Fingerprint-Resistant-Oleophobic-Coating,Display-of-Multiple-Languages-and-Characters-Simultaneously,Display-Zoom,Reachability
predictive-text-input Yes
voice-input Yes
smartphone Yes
color Black
primary-camera 12-megapixel
sales-package Handset,EarPods-with-Lightning-Connector,Lightning-to-3.5-mm-Headphone-Jack-Adapter,Lightning-to-USB-Cable,USB-Power-Adapter,Documentation
3g Yes
operating-system iOS-10
call-log-memory Yes
gprs Yes
sim-size Nano-Sim
weight 0.188
graphics-ppi 401-PPI
internal-storage 128-GB
resolution-type Retina-HD-Display
usb-connectivity Yes
full-hd-recording Yes
touchscreen Yes
secondary-camera-features 1080p-HD-Video-Recording,Retina-Flash,f/2.2-Aperture,Wide-Color-Capture-for-Photos-and-Live-Photos,Auto-HDR,Backside-Illumination-Sensor,Body-and-Face-Detection,Auto-Image-Stabilization,Burst-Mode,Exposure-Control,Timer-Mode,FaceTime-Video-Calling-Over-Wi-Fi-or-Cellular
removable-battery No
domain Mobile
digital-zoom Optical-Zoom---2x,Digital-Zoom-Upto-10x
wi-fi Yes
audio-formats AAC,MP3,HE-AAC,MP3-VBR,AAX,AAX+,AIFF,WAV
frame-rate 1080p@30fps,1080p@60fps,720p@30fps,Slow-Motion-Video-Support-for-1080p@120-fps-and-720p@240fps-fps
resolution 1920-x-1080-Pixels
primary-camera-features Wide-Angle-and-Telephoto-Cameras,Wide-angle:-f/1.8-Aperture,Telephoto:-f/2.8-Aperture,Optical-Image-Stabilization,Six-Element-Lens,Panorama-(Upto-63-MP),Sapphire-Crystal-Lens-Cover,Backside-Illumination-Sensor,Hybrid-IR-Filter,Autofocus-with-Focus-Pixels,Tap-to-Focus-with-Focus-Pixels,Live-Photos-with-Stabilization,Wide-Color-Capture-for-Photos-and-Live-Photos,Improved-Local-Tone-Mapping,Body-and-Face-Detection,Exposure-Control,Noise-Reduction,Auto-HDR-for-Photos,Auto-Image-Stabilization,Burst-Mode,Timer-Mode,Photo-Geotagging,Time-Lapse-Video-with-Stabilization,Cinematic-Video-Stabilization-(1080p-and-720p),Continuous-Auto-Focus-Video,Take-8-MP-Still-Photos-While-Recording-4K-Video,Playback-Zoom,Video-Geotagging
internet-connectivity 4G,3G,Wi-Fi,GPRS,EDGE
pre-installed-browser Safari
supported-languages Multi-language-Support
important-apps Siri,Air-Drop,Air-Play,Air-Print,Control-Center,Hand-Off,Home-Kit,iCloud,iCloud-Keychain,Multitasking,Night-Shift,Notification-Center,Spotlight-Search,iMovie,Pages,Keynote,Numbers,iTunes-U,GarageBand,Apple-Store,Trailers,Apple-TV-Remote,iTunes-Remote,Music-Memos,Find-My-iPhone,iCloud-Drive,Find-My-Friends,Stocks,Watch,Maps
bluetooth-version 4.2
display-type LED-backlit-IPS
