model-number MN992HN/A
browse-type Smartphones
bluetooth-support Yes
width 0.06709999999999999
display-size 4.7-inch
hybrid-sim-slot No
product-name Apple-iPhone-7-Gold-256-GB-
model-name iPhone-7
sms-memory Yes
sim-type Single-Sim
pre-installed-browser Safari
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats H.264,AAC-LC,M4V,MP4,MOV,MPEG4,AVI,PCM
other-features Rated-IP67-Under-IEC-Standard-60529,Audio-Calling:-FaceTime-Audio,Voice-Over-LTE-(VoLTE),Wi-Fi-Calling,TV-and-Video:-AirPlay-Mirroring,Photos,Audio,Video-out-to-Apple-TV-(2nd-Generation-or-Later),Apple-Pay
hd-recording Yes
video-recording-resolution 3840-x-2160
internal-memory 256
video-call-support Yes
flash Quad-LED-True-Tone-Flash
sms Yes
secondary-camera 7-megapixel
phone-book-memory Yes
sensors Touch-ID-Fingerprint-Sensor,Barometer,Three-axis-Gyro-Sensor,Accelerometer,Proximity-Sensor,Ambient-Light-Sensor,Backside-Illumination-Sensor,Digital-Compass
gps-support Yes
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
edge Yes
network-type 4G-VOLTE,3G,2G
id 1179
height 0.1383
phone-book Yes
nfc Yes
processor-type A10-Fusion-Chip-with-64-bit-Architecture-and-Embedded-M10-Motion-Co-processor
primary-camera-available Yes
3g-speed HSPA+
depth 0.0070999999999999995
supported-networks 4G-LTE
other-display-features Multi-touch-Display,1400:1-Contrast-Ratio,Wide-Color-Display-(P3),625-cd/m2-Maximum-Brightness,Dual-Domain-Pixels-for-Wide-Viewing-Angles,Fingerprint-Resistant-Oleophobic-Coating,Display-of-Multiple-Languages-and-Characters-Simultaneously,Display-Zoom,Reachability
predictive-text-input Yes
voice-input Yes
smartphone Yes
color Gold
primary-camera 12-megapixel
sales-package Handset,EarPods-with-Lightning-Connector,Lightning-to-3.5-mm-Headphone-Jack-Adapter,Lightning-to-USB-Cable,USB-Power-Adapter,Documentation
3g Yes
operating-system iOS-10
call-log-memory Yes
gprs Yes
sim-size Nano-Sim
weight 0.138
graphics-ppi 326-PPI
internal-storage 256-GB
resolution-type Retina-HD-Display
usb-connectivity Yes
full-hd-recording Yes
touchscreen Yes
secondary-camera-features 1080p-HD-Video-Recording,Retina-Flash,f/2.2-Aperture,Wide-Color-Capture-for-Photos-and-Live-Photos,Auto-HDR,Backside-Illumination-Sensor,Body-and-Face-Detection,Auto-Image-Stabilization,Burst-Mode,Exposure-Control,Timer-Mode,FaceTime-Video-Calling-Over-Wi-Fi-or-Cellular
removable-battery No
domain Mobile
digital-zoom Digital-Zoom---Upto-5x
wi-fi Yes
audio-formats AAC,MP3,HE-AAC,MP3-VBR,AAX,AAX+,AIFF,WAV
frame-rate 1080p@30fps,1080p@60fps,720p@30fps,Slow-Motion-Video-Support-for-1080p@120-fps-and-720p@240fps-fps
resolution 1334-x-750-Pixels
primary-camera-features f/1.8-Aperture,Optical-Image-Stabilization,Six-Element-Lens,Panorama-(Upto-63-MP),Sapphire-Crystal-Lens-Cover,Backside-Illumination-Sensor,Hybrid-IR-Filter,Autofocus-with-Focus-Pixels,Tap-to-Focus-with-Focus-Pixels,Live-Photos-with-Stabilization,Wide-Color-Capture-for-Photos-and-Live-Photos,Improved-Local-Tone-Mapping,Body-and-Face-Detection,Exposure-Control,Noise-Reduction,Auto-HDR-for-Photos,Auto-Image-Stabilization,Burst-Mode,Timer-Mode,Photo-Geotagging,Time-Lapse-Video-with-Stabilization,Cinematic-Video-Stabilization-(1080p-and-720p),Continuous-Auto-Focus-Video,Take-8-MP-Still-Photos-While-Recording-4K-Video,Playback-Zoom,Video-Geotagging
internet-connectivity 4G,3G,Wi-Fi,GPRS,EDGE
supported-languages Multi-language-Support
important-apps Siri,Air-Drop,Air-Play,Air-Print,Control-Center,Hand-Off,Home-Kit,iCloud,iCloud-Keychain,Multitasking,Night-Shift,Notification-Center,Spotlight-Search,iMovie,Pages,Keynote,Numbers,iTunes-U,GarageBand,Apple-Store,Trailers,Apple-TV-Remote,iTunes-Remote,Music-Memos,Find-My-iPhone,iCloud-Drive,Find-My-Friends,Stocks,Watch,Maps
bluetooth-version 4.2
display-type LED-backlit-IPS
