model-number A1688
browse-type Smartphones
bluetooth-support Yes
width 0.06709999999999999
display-size 4.7-inch
hybrid-sim-slot No
product-name Apple-iPhone-6s-Rose-Gold-16-GB-2-GB-RAM-
model-name iPhone-6s
ram 2-GB
sim-type Single-Sim
otg-compatible No
operating-frequency GSM---850,900,1800,1900;-UMTS---850,900,1700,1900,2100;-4G-LTE-(TD)---Band-38/39/40/41
secondary-camera-available Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-recording Yes
audio-jack 3.5-mm
video-formats H.264,MP4,MOV,M4V,AAC-LC,MPEG4,AVI,MJPEG,PCM
games Yes
supported-networks 4G-LTE
video-recording-resolution 3840-x-2160
pre-installed-browser Safari
processor-clock-speed 1.84-GHz
secondary-camera 5-megapixel
phone-book-memory Yes
sensors Touch-ID-Fingerprint-Sensor,Barometer,Three-axis-Gyro-Sensor,Accelerometer,Proximity-Sensor,Ambient-Light-Sensor,Digital-Compass
gps-support Yes
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
edge Yes
network-type 4G
id 1191
height 0.1383
phone-book Yes
memory-card-slot-type NA
processor-type A9-Chip-with-64-bit-Architecture-and-M9-Motion-Co-processor
primary-camera-available Yes
supported-languages Multi-language-Support
depth 0.0070999999999999995
browser Safari
hd-recording Yes
java-support No
other-display-features Retina-HD-Display-with-3DﾠTouch,LED-Backlit-Widescreen,326-PPI,500-cd/m2-Maximum-Brightness,Full-sRGB-Standard,Dual-Domain-Pixels-for-Wide-Viewing-Angles,Fingerprint-Resistant-Oleophobic-Coating,Display-Zoom,Reachability
predictive-text-input Yes
voice-input Yes
smartphone Yes
color Rose-Gold
primary-camera 12-megapixel
battery-capacity 1715-mAh
sales-package Handset,Apple-EarPods-with-Remote-and-Mic,Lightning-to-USB-Cable,USB-Power-Adapter,SIM-Slot-Remover-Tool
3g Yes
operating-system iOS-9
call-log-memory Yes
gprs Yes
sim-size Nano-Sim
gpu PowerVR-GT7600-(six-core-graphics)
internal-storage 16-GB
resolution-type Retina-HD-Display
sms-memory Yes
usb-connectivity Yes
weight 0.143
full-hd-recording Yes
touchscreen Yes
nfc Yes
other-features Photos,Wallet,Calendar,Notes,Reminders,Clock,Calculator
secondary-camera-features 720p-HD-Video-Recording,Retina-Flash,f/2.2-Aperture,Auto-HDR-for-Photos-and-Videos,Backside-Illumination-Sensor,Exposure-Control,Burst-Mode,Timer-Mode,Face-Detection
removable-battery No
domain Mobile
processor-core Dual-Core
wi-fi Yes
audio-formats WAV,AAX,AAX+,AAC,VBR,MP3,AIFF,HE-AAC
frame-rate 2160p@30fps;-1080p@30fps,1080p@60fps;-720p@30fps;-Slow-Motion-Video-Support:-1080p@120fps-and-720p@240fps-fps
resolution 750-x-1334-Pixels
sms Yes
internet-connectivity 3G,4G,Wi-Fi,GPRS,EDGE
display-colors 16-M
bluetooth-version 4.2
display-type LED-backlit-IPS-LCD
map-support Google-Maps
