model-number MLLP2HN/A
browse-type Smartphones
bluetooth-support Yes
width 0.0586
display-size 4-inch
hybrid-sim-slot No
product-name Apple-iPhone-SE-Silver-16-GB-
model-name iPhone-SE
sim-type Single-Sim
otg-compatible No
operating-frequency GSM---850,900,1800,1900;-UMTS---850,900,1700,1900,2100;-4G-LTE-(TD)---Band-38/39/40/41
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
weight 0.113
other-features Mobile-Network,Multiple-Languages-and-Characters-Support,Built-in-Speaker,Microphones,Lightning-Connector,External-Buttons-and-Connectors:-Touch-ID-Sensor,Volume-Up-/-Down,Ring-/-Silent,On-/-Off-or-Sleep-/-Wake,Calendar,Notes,Reminders,Clock,Calculator,AirPlay-Mirroring-Photos,Audio-and-Video-Out-to-Apple-TV-(2nd-Generation),Video-Mirroring-and-Video-Out-Support,Location:-Mobile-Data,iBeacon-Micro-location,FaceTime-Video-Calling,Audio-Calling---FaceTime-Audio,Wi-Fi-Calling,Multi-tasking,Quick-Type-Keyboard,Spotlight-Search,Dictionary-Support,Spell-Check,Air-Drop,Air-Play,Air-Print,Control-Centre,Handoff,Homekit,iCloud-Keychain,iCloud-Drive,Notification-Centre,Siri
hd-recording Yes
video-recording-resolution 3840-x-2160
sms Yes
secondary-camera 1.2-megapixel
video-formats H.264,MP4,MOV,M4V,AAC-LC,MPEG4,AVI,MJPEG,PCM
sensors Three-axis-Gyro-Sensor,Touch-ID-Fingerprint-Sensor,Proximity-Sensor,Ambient-Light-Sensor,Accelerometer,Digital-Compass
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
edge Yes
network-type 4G
id 1213
height 0.1238
phone-book Yes
nfc Yes
processor-type A9-Chip-with-64-bit-Architecture-and-M9-Motion-Co-processor
primary-camera-available Yes
supported-languages Multi-language-Support
depth 0.0076
supported-networks 4G-LTE
other-display-features LED‑backlit-Wide-Screen-Multi‑touch-Display,326-PPI,500-cd-/-m2-Maximum-Brightness,Full-sRGB-Standard,Finger-Print-Resistant-Oleophobic-Coating
predictive-text-input Yes
voice-input Yes
smartphone Yes
color Silver
primary-camera 12-megapixel
sales-package Handset,Apple-EarPods-with-Remote-and-Mic,Lightning-to-USB-Cable,USB-Power-Adapter,Documentation
3g Yes
operating-system iOS-9
call-log-memory Yes
gprs Yes
sim-size Nano-SIM
internal-storage 16-GB
resolution-type Retina-Display
map-support Google-Maps
usb-connectivity Yes
secondary-camera-features HD-Video-Recording,Retina-Flash,f/2.4-Aperture,Auto-HDR-for-Photos,Backside-Illumination-Sensor,Exposure-Control,Improved-Local-Tone-Mapping,Burst-Mode,Timer-Mode,Face-Detection
touchscreen Yes
memory-card-slot-type NA
full-hd-recording Yes
removable-battery No
domain Mobile
audio-jack 3.5-mm
wi-fi Yes
audio-formats WAV,AAX,AAX+,AAC,VBR,MP3,AIFF,HE-AAC
gps-support Yes
resolution 1136-x-640-Pixels
primary-camera-features iSight-Camera,1.22-µ-Pixels,Live-Photos,Auto-Focus,Focus-Pixels,True-Tone-Flash,Panorama-(Upto-63-MP),Auto-HDR-for-Photos,Exposure-Control,Burst-Mode,Timer-Mode,f/2.2-Aperture,Five-element-Lens,Hybrid-IR-Filter,Backside-Illumination-Sensor,Sapphire-Crystal-Lens-Cover,Auto-Image-Stabilisation,Improved-Local-Tone-Mapping,Improved-Noise-Reduction,Face-Detection,Photo-Geo-tagging,Slow-motion-Video,Time-lapse-Video-with-Stabilisation,Cinematic-Video-Stabilisation,Continuous-Auto-Focus-Video,Take-Still-Photos-While-Recording-Video,Playback-Zoom,Zoom---3x,Video-Geo-tagging
internet-connectivity 3G,4G,Wi-Fi,GPRS,EDGE
pre-installed-browser Safari
important-apps Health,FaceTime,Wallet,iTunes-Store,App-Store,iBooks,Game-Center,Weather,Voice-Memos,Stocks,Podcasts,Tips,iMovie,Pages,Keynote,Numbers,iTunes-U,Garage-Band,Remote,Music-Memos,Find-My-iPhone,Find-My-Friends
bluetooth-version 4.2
