model-number iphone-4s-black
browse-type Smartphones
supported-networks UMTS
display-size 3.5-inch
warranty-service-type 1-Year-Manufacturer-Warranty-for-Phone-And-for-In-the-Box-Accessories
color Black
product-name Apple-iphone-4s-Black-16-GB-512-MB-RAM-
model-name iphone-4s
ram 512-MB
primary-camera 8-megapixel
sales-package mobile
operating-system iOS-8
id 1222
sim-type Single-Sim
warranty-summary 1-Year-Manufacturer-Warranty
internal-storage 16-GB
resolution-type DVGA
touchscreen Yes
not-covered-in-warranty warranty-does-not-covered-physical-damage
domain Mobile
additional-content micro-sd-card
battery-type Li-Ion
resolution 640-x-960-Pixels
covered-in-warranty 1-Year-Manufacturer-Warranty-for-Phone-And-for-In-the-Box-Accessories
battery-capacity 1420-mAh
