model-number MKUF2HN/A
browse-type Smartphones
bluetooth-support Yes
width 0.07790000000000001
display-size 5.5-inch
hybrid-sim-slot No
product-name Apple-iPhone-6s-Plus-Gold-128-GB-2-GB-RAM-
model-name iPhone-6s-Plus
ram 2-GB
sim-type Single-Sim
pre-installed-browser Safari
operating-frequency GSM---850,900,1800,1900;-UMTS---850,900,1700,1900,2100;-4G-LTE-(TD)---Band-38/39/40/41
secondary-camera-available Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-recording Yes
audio-jack 3.5-mm
video-formats H.264,MP4,MOV,M4V,AAC-LC,MPEG4,AVI,MJPEG,PCM
games Yes
supported-networks 4G-LTE
video-recording-resolution 3840-x-2160
processor-clock-speed 1.84-GHz
sms Yes
secondary-camera 5-megapixel
other-features Photos,Wallet,Calendar,Notes,Reminders,Clock,Calculator
sensors Touch-ID-Fingerprint-Sensor,Barometer,Three-axis-Gyro-Sensor,Accelerometer,Proximity-Sensor,Ambient-Light-Sensor,Digital-Compass
gps-support Yes
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
edge Yes
network-type 4G,3G,2G
id 1226
height 0.15819999999999998
phone-book Yes
memory-card-slot-type NA
processor-type A9-Chip-with-64-bit-Architecture-and-M9-Motion-Co-processor
primary-camera-available Yes
supported-languages Multi-language-Support
depth 0.0073
browser Safari
hd-recording Yes
java-support No
other-display-features Retina-HD-Display-with-3DﾠTouch,LED-Backlit-Widescreen,401-PPI,500-cd/m2-Maximum-Brightness,Full-sRGB-Standard,Dual-Domain-Pixels-for-Wide-Viewing-Angles,Fingerprint-Resistant-Oleophobic-Coating,Display-Zoom,Reachability
predictive-text-input Yes
voice-input Yes
smartphone Yes
color Gold
primary-camera 12-megapixel
battery-capacity 2750-mAh
sales-package Handset,Apple-EarPods-with-Remote-and-Mic,Lightning-to-USB-Cable,USB-Power-Adapter,SIM-Slot-Remover-Tool
3g Yes
operating-system iOS-9
call-log-memory Yes
gprs Yes
sim-size Nano-Sim
gpu PowerVR-GT7600-(six-core-graphics)
internal-storage 128-GB
resolution-type Retina-HD-Display
map-support Google-Maps
usb-connectivity Yes
weight 0.192
full-hd-recording Yes
touchscreen Yes
nfc Yes
secondary-camera-features 720p-HD-Video-Recording,Retina-Flash,f/2.2-Aperture,Auto-HDR-for-Photos-and-Videos,Backside-Illumination-Sensor,Exposure-Control,Burst-Mode,Timer-Mode,Face-Detection
removable-battery No
domain Mobile
processor-core Dual-Core
wi-fi Yes
audio-formats WAV,AAX,AAX+,AAC,VBR,MP3,AIFF,HE-AAC
frame-rate 2160p@30fps;-1080p@30fps,1080p@60fps;-720p@30fps;-Slow-Motion-Video-Support:-1080p@120fps-and-720p@240fps-fps
resolution 1080-x-1920-Pixels
primary-camera-features iSight-Camera,1.22-µ-Pixels,Live-Photos,Auto-Focus,Focus-Pixels,True-Tone-Flash,Panorama-(Upto-63-MP),Auto-HDR-for-Photos,Exposure-Control,Burst-Mode,Timer-Mode,f/2.2-Aperture,Five-element-Lens,Hybrid-IR-Filter,Backside-Illumination-Sensor,Sapphire-Crystal-Lens-Cover,Auto-Image-Stabilisation,Improved-Local-Tone-Mapping,Improved-Noise-Reduction,Face-Detection,Photo-Geo-tagging,Slow-motion-Video:-Shoot-Video-at-120-fps,Time-lapse-Video,Cinematic-Video-Stabilisation,Continuous-Auto-Focus-Video,Take-Still-Photos-While-Recording-Video,Zoom---3x,Video-Geo-tagging
internet-connectivity 3G,4G,Wi-Fi,GPRS,EDGE
display-colors 16-M
important-apps Health,FaceTime,iTunes-Store,App-Store,iBooks,Game-Center,Weather,Voice-Memos,Stocks,Podcasts,iMovie,Pages,Keynote,Numbers,iTunes-U,Garage-Band,Remote,Find-My-iPhone,Find-My-Friends,Air-Drop,Air-Play,Control-Centre,iCloud-Drive,Notification-Centre,Siri
bluetooth-version 4.2
display-type LED-backlit-IPS-LCD
