browse-type Smartphones
bluetooth-support Yes
width 0.0592
display-size 4-inch
product-name Apple-iPhone-5C-Blue-32-GB-
model-name iPhone-5C
sms-memory Yes
sim-type Single-Sim
pre-installed-browser Safari
operating-frequency GSM---850,900,1800,1900;-UMTS---2100
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats H.264,MPEG-4,MP4,M4V,MOV
image-editor Yes
other-features Mobile-Network,Multiple-Languages-and-Characters-Support,Video-Stabilization,Video-Geo-tagging,AirPlay-Mirroring-and-Video-out-to-Apple-TV-(2nd-and-3rd-Generation),Video-Mirroring-and-Video-Out-Support,Reminders,Notes,Game-Center,Calculator,Calendar,Voice-Memos,Remote,Lightning-Connector,Alarm,Reminder,Clock,Lightning-Connector,Do-Not-Disturb-Option
hd-recording Yes
video-recording-resolution 1920-x-1080
flash LED
primary-camera-available Yes
secondary-camera 1.2-megapixel
phone-book-memory Yes
sensors Ambient-Light-Sensor,Digital-Compass,Three-axis-Gyro-Sensor,Accelerometer,Proximity-Sensor
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n
network-type 3G
id 1236
height 0.12440000000000001
nfc No
processor-type A6-Chip
supported-networks GSM
depth 0.00897
touchscreen-type Capacitive
edge Yes
other-display-features Retina-Display,Contrast-Ratio---800:1,Finger-Print-Resistant,500-cd-/-m2-Max-Brightness,Oleophobic-Coating-on-Front,Multi-touch,Wide-Screen
smartphone Yes
color Blue
primary-camera 8-megapixel
battery-capacity 1440-mAh
frame-rate 30-fps
3g Yes
operating-system iOS-7
call-log-memory Yes
sim-size Nano-SIM
weight 0.132
internal-storage 32-GB
resolution-type Retina-Display
map-support Yes
full-hd-recording Yes
usb-connectivity Yes
domain Mobile
audio-jack 3.5-mm
wi-fi Yes
audio-formats WAV,MP3
gps-support Yes
resolution 1136-x-640-Pixels
primary-camera-features Primary-Camera:-Backside-Illumination-Sensor,Five-element-Lens,Hybrid-IR-Filter,Auto-Focus,Tap-to-Focus,Face-Detection,Panorama,Geo-tagging,Video-Recording:-3x-Zoom,Chrome-Filter,Self-portrait,f/2.4-Aperture--Secondary-Camera:-HD-Video-Recording,Backside-Illumination-Sensor
internet-connectivity Wi-Fi,3G,EDGE
important-apps Weather,Face-Time,iTunes-Store,Stocks,App-Store,Newsstand,iPhoto,Pages,Keynote,Numbers,iBooks,iTunes-U,iTunes-Festival,iMovie,Podcasts,Trailers,News,Find-My-iPhone,Find-My-Friends,iCloud,Business,Education,Entertainment,Family-and-Kids,Finance,Food-and-Drink,Health-and-Fitness,Lifestyle,Sport,Productivity,Travel,Passbook,Siri
bluetooth-version 4
