model-number TCPLBTL
model-series-name Beetle-Plus
width 0.762
type Foam
pillow-top No
product-name Coirfit-Beetle-Plus-4-inch-Single-Foam-Mattress
brand Coirfit
length 1828-mm
covered-in-warranty THE-PRODUCT-IS-WARRANTED-AGAINST-MANUFACTURING-DEFECT-FOR-THE-ASSIGNED-PERIOD-OF-THAT-PARTICULAR-MODEL-FORM-THE-DATE-OF-PURCHASE-FOR-THE-REPAIR-OF-ANY-DEFECT-OCCURRED-TO-THE-INTERNAL-MATERIAL
reversible-mattress Yes
filling-material Bonded-Foam
warranty-summary 1-Year-Manufacturing-Waranty
care-instructions DO-NOT-FOLD-THE-MATTRESS,ROTATE-THE-MATTRESS-&-CHANGE-THE-SIDE-OF-THE-MATTRESS-EVERY-3-MONTHS
thickness 101-mm
layers Multiple
reinforced-edges No
orthopaedic-support No
style-code Beetle-Plus
not-covered-in-warranty THIS-GUARANTEE-IS-DOES-NOT-APPLY-ON-COVERS,THIS-GUARANTEE-IS-NOT-VALID-IN-CASE-OF-DAMAGE-RESULTING-FROM-MISHANDLING-OR-NEGLIGENCE-ON-THE-PART-OF-THE-CUSTOMER.
size Single
domain Mattress
weight 9
comfort-level Medium
service-type On-site-Service,Customer-needs-to-call-the-nearby-Authorized-Service-Center,service-engineer-will-come-to-the-site-to-get-the-product-repaired-or-inspected.
id 1257
color Maroon
