depth 0.2795
model-number 67225
domain Sofa
secondary-material Plastic
width 1.372
suitable-for Seating
warranty-service-type Customer-Needs-To-Send-By-The-Courier-If-Manufacturing-Defects.
not-covered-in-warranty Warranty-Does-Not-Cover-Any-External-Accessories-(Such-As-Battery,Cable,Carrying-Bag),Damage-Caused-To-The-Product-Due-To-Improper-Installation-By-Customer,Normal-Wear-And-Tear-To-Magnetic-Heads,Audio,Video,Laser-Pick-Ups-And-Tv-Picture-Tubes,Pane
upholstery-included No
height 1.905
finish-type Matte
sales-package One-Air-Bed
product-name Best-Way-Karmax-Easy-Inflate-Flocked-Air-Bed-Double-PVC-2-Seater-Inflatable-Sofa-Color-Blue-
warranty-summary Warranty-Of-The-Product-Is-Limited-To-Manufacturing-Defects-Only.
covered-in-warranty 1-Month-Warranty-Against-Manufacturing-Defects-Only
id 1263
care-instructions Wipe-clean-with-cloth
weight 3.8
secondary-material-subtype PVC
