style-code ASRF0307LT.PURPLE
secondary-color Blue,White
fit Regular
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-1-inches-and-is-wearing-a-Shirt-of-Size-40
id 1316
product-name Arrow-Men-s-Self-Design-Casual-Purple-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
suitable-for Western-Wear
pattern Self-Design
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Do-not-Bleach,Do-not-Wring,Iron-Steam-or-Dry-as-per-Tag,Do-not-Iron-on-Print/Embroidery/Embellishment
placket Button-Down-Placket
closure Button
domain Shirt
pack-of 1
fabric Cotton
