style-code XMSS05563-R2Light-Red
placket Full-Button-Down-Placket
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-0-inches-and-is-wearing-a-Shirt-of-Size-M
id 1323
product-name Parx-Men-s-Printed-Casual-Pink-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
suitable-for Western-Wear
pattern Printed
fabric-care Machine-Wash-as-per-Tag,Do-not-Bleach
collar Slim-Collar
other-details 2-Buttoned-Cuffs,Two-extra-button-attached
closure Button
domain Shirt
pack-of 1
fabric Cotton
