style-code VSSF316S06174Light-Green-Solid
fit Slim
sleeve Roll-up-Sleeve
model-details This-model-has-a-Height-of-6-feet-1-inches-and-is-wearing-a-Shirt-of-Size-40
id 1325
product-name Van-Heusen-Sport-Men-s-Solid-Casual-Light-Green-Shirt
placket Button-Down-Placket
pockets Buttoned-Welt-Pocket-on-Chest
suitable-for Western-Wear
pattern Solid
fabric-care Machine-Wash-as-per-Tag,Do-not-Bleach,Do-not-Wring,Iron-Steam-or-Dry-as-per-Tag,Do-not-Iron-on-Print/Embroidery/Embellishment
collar Mandarin-Collar
domain Shirt
closure Button
