style-code LYSF516S00889Medium-Red-Solid
placket Button-Down-Placket
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-2-inches-and-is-wearing-a-of-Size-M
id 1332
product-name LP-Louis-Philippe-Men-s-Solid-Casual-Pink-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
domain Shirt
pattern Solid
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Do-not-Bleach,Dry-in-Shade,Iron-Steam-or-Dry-as-per-Tag,Do-not-Iron-on-Print/Embroidery/Embellishment
closure Button
pack-of 1
fabric Cotton
