style-code JWFFSH081A2
placket Button-Down-Placket
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-2-inches-and-is-wearing-a-Shirt-of-Size-40
id 1355
product-name John-Players-Men-s-Striped-Casual-White-Blue-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
suitable-for Western-Wear
pattern Striped
fabric-care Machine-Wash-as-per-Tag,Wash-with-Like-Colors,Do-not-Bleach,Line-Dry,Dry-in-Shade,Iron-Steam-or-Dry-as-per-Tag
collar Spread-Collar
domain Shirt
closure Button
