style-code XL0581-ORANGE
placket Full-Button-Down-Placket
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-0-inches-and-is-wearing-a-of-Size-M
id 1361
product-name Scullers-Sport-Men-s-Checkered-Casual-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
domain Shirt
pattern Checkered
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Wash-with-Like-Colors,Reverse-and-Wash,Do-not-Bleach,Dry-in-Shade,Iron-Steam-or-Dry-as-per-Tag
closure Button
pack-of 1
fabric Cotton
