style-code NTWH410063DGDARK-GREEN
placket Button-Down-Placket
fit Regular
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-2-inches-and-is-wearing-a-Shirt-of-Size-M
id 1371
product-name Nautica-Men-s-Checkered-Casual-Green-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
suitable-for Western-Wear
pattern Checkered
reversible No
collar Button-Down-Collar
fabric-care Machine-Wash-as-per-Tag,Use-Non-Chlorine-Bleach,Iron-Steam-or-Dry-as-per-Tag
closure Button
domain Shirt
pack-of 1
fabric Cotton
