style-code RMSY05641-V3Medium-Violet
placket Full-Button-Down-Placket
fit Regular
sleeve Half-Sleeve
model-details This-model-has-a-Height-of-6-feet-0-inches-and-is-wearing-a-of-Size-42
id 1374
product-name Raymond-Men-s-Solid-Formal-Purple-Shirt
hem Straight-Hem
pockets 1-Patch-Pocket-on-Chest
domain Shirt
pattern Solid
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Wash-with-Like-Colors,Reverse-and-Wash,Do-not-Bleach,Dry-in-Shade,Iron-Steam-or-Dry-as-per-Tag
closure Button
pack-of 1
fabric Cotton
