style-code LYSF316S03620Medium-blue-Solid
secondary-color Blue
fit Regular
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-2-inches-and-is-wearing-a-of-Size-40
id 1383
product-name LP-Louis-Philippe-Men-s-Solid-Casual-Blue-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
suitable-for Western-Wear
pattern Solid
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Wash-with-Like-Colors,Do-not-Dry-Clean,Do-not-Tumble-Dry
placket Full-Button-Down-Placket
closure Button
domain Shirt
pack-of 1
fabric Cotton
