style-code RMSX05696-K7Black
placket Button-Down-Placket
fit Regular
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-0-inches-and-is-wearing-a-of-Size-40
id 1387
product-name Raymond-Men-s-Solid-Formal-Linen-Grey-Shirt
hem Straight-Hem
pockets 1-Patch-Pocket-on-Chest
domain Shirt
pattern Solid
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Wash-with-Like-Colors,Dry-Clean,Do-not-Bleach,Dry-in-Shade,Do-not-Tumble-Dry,Iron-Steam-or-Dry-as-per-Tag,Do-not-Iron-on-Print/Embroidery/Embellishment
closure Button
pack-of 1
fabric Linen
