style-code E-INDIGLOW-11-FSNSLM-MDSTNEMID-STONE
placket Button-Down-Placket
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-2-inches-and-is-wearing-a-of-Size-M
id 1392
product-name LAWMAN-Pg3-Men-s-Woven-Casual-Blue-Shirt
hem Curved-Hem
pockets 2-Patch-Pockets-on-Chest-with-Flap-and-Button
domain Shirt
pattern Woven
reversible No
collar Spread-Collar
fabric-care Machine-Wash-as-per-Tag,Do-not-Bleach,Dry-in-Shade,Do-not-Iron-on-Print/Embroidery/Embellishment
closure Button
pack-of 1
fabric Cotton
